	drugName	condition	review	rating	date	usefulCount
54772	Bupropion / naltrexone	Obesity	"""This medication is extremely expensive.....It makes you think why most insurance doesn&#039;t cover it...Since I paid almost $200 my expectations are extremely high now...My dose starts today!"""	1	11-Mar-17	11
160675	Buspirone	Panic Disorde	"""I have taken this medication for a month and in that time I have had the quietest mind of my life. I take Lexapro for my regular medicine and this is for easing the generalized anxiety disorder that acts up so frequently.  Never have I been able to stop myself from a panic attack like this.  It&#039;s amazing.  The first week was tiring and disorienting...after that, smooth sailing."""	10	25-Jan-13	184
178153	Duloxetine	Depression	"""I&#039;ve been taking Cymbalta for 3 years, after 7 years of taking Prozac. Even though Prozac worked great for all that time, I guess I started to tolerate it and didn&#039;t work anymore) and has been working great so far, no side effects and is amazing how it brought me out of that abyss I was at. Thank you Cymbalta. """	8	5-Nov-10	13
148373	Empagliflozin / linagliptin	"Diabetes, Type 2"	"""I have taken this medicine for about 6 months.   My A1C was 9.6 and it is now 7.2. I also has loss weight 18 pounds. Just walking about  3 times a week.   No other side affects.  I am happy that my doctor started my on it.  This med along with metformin is working for me."""	9	3-Nov-17	0
228235	Etonogestrel	Birth Control	"""Had Implanon inserted in August 2009. Bled for over 2 months into Novemeber and have not had a period since. In the past week have experienced breast tenderness, nausea, lower back pain and slight dizziness which I worried was due to pregnancy. Have done 3 negative tests, however I feel slightly paranoid still and could swear I have a strange taste in my mouth normally associated with pregnancy but I hope it&#039;s just all in my head! Going to the doctors on Thursday so here&#039;s hoping I&#039;m not caught out in that tenth of a percent!"""	7	12-Jan-10	2
15621	Ethinyl estradiol / norethindrone	Birth Control	"""This is my first time on birth control. I know they recommend you only being on the pill for 10 years so I wanted to wait until it was truly needed. I have been on this pill for 4 1/2 years. The first 3 1/2 years were amazing. I lost weight, my skin was amazing, my periods were very light and only lasted 3 days, I am always moody around my period but I&#039;ve always been like that. But this past year is totally different. My boobs are massive, I&#039;ve gained weight for no reason, I stopped getting my period all together. I feel I needed to take stock in pregnancy tests because I was always 28 days on the pill and now I get it every 6 months if that. My mood swings are crazy and my food cravings are nuts. my sexy drive dropped too."""	8	15-Nov-16	4
166692	Levonorgestrel	Birth Control	"""I&#039;m 22 years old and I got the skyla inserted on Aug12th. The insertion part didn;t hurt at ALL!! I had bleeding a day or 2 and then nothing still cramped but not bad. My boyfriend and I tried to have sex at day 3 but he was getting stabbed pretty hard. We kept trying on from there and he was still getting stabbed, I told my doctors but all they said was just wait the string probably haven&#039;t softened so we tried once a week sadly still nothing. We were finally able to have sex beginning of Sept. Then I started bleeding after. I went to get my IUD checked out because I could feel it and the docs Couldn&#039;t find it. Had ultrasound it was fine. Now we are still unable to have sex again.."""	3	10-Sep-16	6
89070	Singulair	"Asthma, Maintenance"	"""My asthma&#039;s been getting worse every year, and spring allergy season is the worst. I got on Singulair three weeks ago and it&#039;s completely changed my life. I haven&#039;t needed my Albuterol at all in the last two weeks. I can breathe free and easy. For the first time in years, I&#039;ve been able to walk to the store without wheezing. I wish I&#039;d gotten on this a long time ago, but until recently I couldn&#039;t afford the prescription cost. I&#039;ll really be happy when a generic is available."""	9	24-Apr-10	23
72257	Tramadol	Pain	"""This has helped my mom along with gabapentin for her disc problems. """	9	30-Jun-12	18
160474	Buspirone	Anxiety	"""Diagnosed with having anxiety, depression, and PTSD (raped year prior and recently lost my husband while 6m pregnant). I take 10mg 2x daily. The problems I have been facing have eased up significantly. At first I had no side effects so it was a win-win. Now after taking it for 3 months I have many side effects and I am going to stop taking it. The side effects I have been experiencing are headache, weak feeling, intense sugar cravings, hair loss, slow response, extreme anger, weight gain. I was losing weight after my pregnancy, exercising, felt very healthy. Now on buspar I have gained weight in odd places like my face. I find myself wanting to binge eat which I hardly even did while pregnant. Slowness and extreme anger were deal breakers."""	5	2-Jan-16	8
65134	Saphris	Bipolar Disorde	"""I have just started taking this medicine. I just took my third dose about 30 minutes ago. The first night taking the medicine was difficult. Bad taste - definitely. My legs were fidgety and I tossed and turned for about 4 hours (very unusual for me, I normally sleep like a rock). I could hardly get out of bed for more than 10 minutes the first day. Dizziness was very bad. I took the second dose about 16 hours after the first dose (4pm on day 2). The 2nd day has been a bit better. I was able to get on the exercise bike for a few minutes even. This is my third day. I took the third dose at 8:30 am. I am working up to taking 5mg every 12 hours, but am not there yet. I have a follow-up with the doctor in a couple days. """	9	19-Nov-10	12
98876	Nexplanon	Birth Control	"""I got my Nexplanon implanted on Feb. 28, 2013. So far, I love it. I got it inserted on the second day of my period and once I got it implanted my period stopped 2 days after. There was no pain during insertion and I only felt the numbing. About two weeks later I started bleeding for about 2 weeks and after that, no period, until last week. I had a period that lasted a week but is gone now. I personally love my Nexplanon."""	9	11-Jun-13	4
8988	Viagra	Erectile Dysfunction	"""Not bad."""	6	19-Jul-09	7
114029	Amlodipine	High Blood Pressure	"""I started taking amlodipine besylate about 6months ago started at 5mg. now 10mg. My feet, ankles&amp;hands swell. My top number has gone down from 210-220 to upper 130&#039;s to 140&#039;s   but bottom number has increased to mid 90&#039;s to 100&#039;s +. I have sever back problems and kidney disease dr. don&#039;t want to change medication cause kidneys stop working when he does lisinopol doesn&#039;t work. Does anyone have any suggestions? My body just hurts  all the time.some days can&#039;t even move."""	5	11-Nov-13	92
103842	Ethinyl estradiol / levonorgestrel	Ovarian Cysts	"""I&#039;ve been taking Aviane for about 2 months going on three. The first two months were great now that I am on the third pack I&#039;ve been feeling really nauseated. Although it did help with severe cramps I do not like feeling like I have to throw up all the time. It also cleared up my face a little."""	7	20-Jan-15	4
178407	Duloxetine	ibromyalgia	"""Helped greatly with pain, confusion and saying words I was thinking. Went from about 4-5 hours of sleep a night to 12-14 hours solid sleep for first month. (It felt GREAT to sleep without waking from pain. First time in 8-9 years!) Now only have an occasional late night here and there and sleep as much or little as I want. I do have muscle tightness and  twitching when I lay down at night. Stretching and heated muscle rubs help. """	8	26-Jan-09	83
13507	Amphetamine / dextroamphetamine	ADHD	"""Good with increased mental focus and less 
distractions by activities that were going on around
me. I have nothing negative to say about the Adderall. It has improved my ability to control my 
attention and give me greater intensity in thinking and reasoning."""	10	21-Jan-15	79
958	Rituxan	Non-Hodgkin's Lymphoma	"""Just finished my sixth round of chemo treatment.  I had Follicular B Cell Lymphoma.  One on my right shoulder, one on in my neck and two on my chest.  After fourth round and a PET scan, Doctor diagnosed me as being in 100% remission.  I will do more research on the Rituxan  maintenance program recommended by my Oncologist.  I had a reaction to the Rituxan my first treatment but did not have any other problems with the medicine.  Highly recommended"""	9	4-Dec-10	65
165926	Levonorgestrel	Birth Control	"""I had Kyleena inserted a week ago and I love it so much. I have had problems with nausea while taking hormonal birth control (pills and patch), so my doctor told me about Kyleena. I had it inserted on my period because that is when the cervix is most open, and it was definitely a little more than uncomfortable. It felt like more than a strong cramp... I would say it was close to a contraction (although I&#039;ve never given birth). I have a very high pain tolerance and I jumped out the chair a little bit, but it lasted for only 30 seconds. The first day with it kind of sucked. I had cramps all day and felt pretty crappy. The next morning, I woke up and felt fine. It even stopped my period early! I have not had any pain or side effects. Love it!"""	10	2-Mar-17	4
71832	Tramadol	Restless Legs Syndrome	"""I have RLS and my legs really hurts at night, even at days but not as much. 
my wifes mother Gave me a Tramadol that she use fore her back pain, i sleep like a baby,  i fall a sleep really Quick and have a really nice sleep, when i dont take it i cant sleep at night. 100mg to 200mg will do it."""	10	9-Apr-16	14
117413	Jublia	"Onychomycosis, Toenail"	"""I&#039;ve been applying Jublia on four infected nails for almost two months now and so far there&#039;s been no noticeable improvement. I plan to continue with the treatment for the recommended period in hopes it will work at some point."""	3	31-Mar-15	21
12816	Etanercept	Rheumatoid Arthritis	"""After about 8 meds over 5 years with most helping little if any I started with Enbrel and it is like night and day. This helps so much. Try it!!"""	9	26-Mar-08	64
697	Medroxyprogesterone	Endometriosis	"""I have been on this for the better part of the last 10 years! I loved the convenience of only having to deal with it 4 times per year. I also was lucky enough to rarely have a period (maybe light spotting once a year). However in the last 6 months, I&#039;ve been having heavy, irregular periods so I am looking into different treatment but I will miss the ease of the shot!"""	9	1-Apr-10	8
153980	Vivitrol	Opiate Dependence	"""I&#039;m getting my 18th shot this month that means I have successfully completed the vivitrol program at a local adult facility. This shot did something not sure what but I don&#039;t have urges or wants to use drugs I was an I user and ruined my life almost but now I&#039;m successful and nobody would ever guess how bad I use to be. And I don&#039;t ever have to be a junkie again. Thank god.... no side affects so I hope I can keep it up after this month and I hope my brain is okay with me stopping the shot."""	10	18-Jan-17	66
88979	Singulair	Allergic Rhinitis	"""I use to get Singulair thru medicaid/medicare but it&#039;s no longer available thru that source.  I would have to pay which I can&#039;t afford to do. However I am a satisfied x -customer and that is the best medicine I have ever taken for my allergy problem. It eliminated my use of my rescue inhaler daily as in the past. I noticed that I could go a few days or weeks even months without even taking the Singulair most of the time. Singulair helped very well to keep my allergy symptoms away and at bay. I now take a generic brand and it is not the same and I still have to use my rescue inhaler more than I did when I used Singulair. I  would recommend Singulair to anyone."""	10	18-Jan-17	17
180522	Fluticasone / vilanterol	COPD	"""Since I started using Breo I still need a maintenance dose of 20 mg of prednisone, but I rarely use my rescue inhaler, and my nebulizing has gone from once every 4 hours to once every 8 hours. At Stage 4 COPD, this medication has given me tremendous relief."""	9	28-Aug-16	21
92778	Vortioxetine	Depression	"""I started 10mg 3 days ago oh my goodness the stomach pain and running to the bathroom! I feel as thou I am in labor with the pain! It starts after an hour taking the meds and lasts about 3 -4 hours! I take at 4am so I am not down all day long . Thankfully, I don&#039;t have a job to go to because that wouldn&#039;t happen if I continued this medication.  I took half this morning at 6:30am overslept and oh wow still severe stomach pain as I write this running to the bathroom!  This is the ONLY side effect I am having for now .  I am going to suffer thru this for I need some relief and have heard great things about this medication after you get used to it.  I also take 150mg Wellbutrin and 15mg buspan 3x a day.  I hope all this works eventually"""	4	28-Sep-17	4
230621	Depo-Provera	4</span> users found this comment helpful.	"""I was on Depo for 9 months, and overall I would rate it poorly. After my first shot, things seemed to be going normal - I was not having abnormal bleeding, I was not gaining weight (although I should say I would go out frequently and eat well), and only had a few of the minor side effects such as tender breasts. However, after the first month, everything went downhill from there! I started spotting everyday, all day long. I received two more shots to try to get my body acclimated to the hormone, and finally switched back to the pill. I also experienced a decrease in sex drive."""	2	4-Feb-10	4
16152	Ethinyl estradiol / norethindrone	Birth Control	"""While this was an effective contraceptive, the negative side effects were beyond unbearable. Within the first week, I experienced the most horrible cystic acne break out of my life. The progesterin in this pill is androgen based, which is found to increase acne. Additionally, my mood swings were wild, and I found myself feeling incredibly depressed. I would cry for literally no reason. This birth control ruined my skin. I switched to a different BC, and since then my skin and mood have improved exponentially."""	1	25-Apr-16	8
116171	Nexplanon	Birth Control	"""I got the implant a year &amp; a half ago. for the first 9 months I loved it. I didn&#039;t have a period at all for those nine months, which wasn&#039;t weird for me because beforehand my periods were very rare anyways (my menstrual cycles got crazy after the Depo shot... and stayed crazy for over a year). After the nine month mark, my period came back, which was fine... except it NEVER stopped &amp; if it did stop, it was for maybe 2 or 3 days, then it&#039;d be right back.  My doctor suggested taking the pill on top of the implant to regulate my periods. it worked for a month, then stopped for 2 months altogether. &amp; now it&#039;s back with a vengeance, the worst cramps &amp; heaviest bleeding I&#039;ve ever experienced. Such a hassle, I&#039;m getting it removed tomorrow."""	4	16-Nov-15	2
87686	Naproxen	Back Pain	"""Really good at back pain relief, but after extended use [ I have 2 ruptured discs] my skin started to tear easily, but I was in my 30&#039;s at the time. So I don&#039;t use for long periods but occasional usage is fine."""	7	26-Apr-11	33
200714	Varenicline	Smoking Cessation	"""Like others I had no intentions of really quitting until I started taking Chantix. I wasn&#039;t going to even set a quit date. By day 9, I smoked one that afternoon (mostly because I truly missed it) and it tasted great but made me nauseated. So day 10 I was done! I am still smoke free on day 19... they still smell good and I think about it from time to time but its not bad enough to make me go buy a pack or bum one. I DID have to half the 1mg because of nausea. The only &quot;side effect&quot; I would say was bad enough to make me quit taking this is the mood swings. Other than that, its AWESOME!!!"""	9	6-Oct-09	7
203158	Fentanyl Transdermal System	Pain	"""These have saved my life, I&#039;ve been on the patch for 3 months, 25 mcg, every 48 hours. I think maybe one more adjustment will do it. Keep in mind they are to be used with a breakthrough medicine also. Well since I&#039;ve been on patches I forgot about pills. Still have to take them though. I have 6 year old boy I can play with him again. That means the world to me. Give them time to work, and it took 3 adjustments to get them right, it took 6 weeks, three 2 wk trial periods. Word of warning my doctor went on vacation during trial period, I had only been taking them for a month, the withdraws were very bad. As soon as he got back I couldn&#039;t wait to start on them again. That says a lot. You have to plan ahead with these meds. Call 4 or 5 days before refill."""	10	23-Apr-12	72
26781	Sprintec	Endometriosis	"""I&#039;ve only been on Sprintec for a couple months but I noticed my depression has got worse. I&#039;m tired all the time, dizzy and just want to cry. I got an yeast infection and my acne isn&#039;t clearing up. As far as my endometriosis. I can&#039;t tell if it has got any better."""	1	13-Aug-09	9
110987	Diclegis	Nausea/Vomiting of Pregnancy	"""Dealing with HG with all my pregnancies this is my 3rd and Diclegis is absolutely life saver. I&#039;m afraid skipping a day to see if it&#039;s actually the pill or a good pregnancy. I went from throwing up 40x a day with my last pregnancy to one or none! I hope it&#039;ll help with heart burn also then it will be a 10 lol. Now it will make you sleepy and hard to get up the next morning another reason I&#039;m giving it a 8 but I&#039;m now 12 weeks and it&#039;s actually not getting me too sleepy any more as my body getting immune to it."""	8	3-Jan-16	3
107419	Implanon	Birth Control	"""I am getting this out as soon as possible. It has indeed prevented pregnancy however I have suffered awful side effects including: moodiness, weight gain, painful acne, nervousness, nausea, headaches, eye tenderness, ever flutters as if I&#039;m pregnant. I will be back on the pill."""	1	28-Jul-11	5
231224	Hydromet	Cough	"""I was taking Hydromet for pneumonia. It seemed to work quite well the first night, as I took it right before bed and I slept very well. However, I found that while taking it during the day, I got extremely nauseous and continuously threw up until an anti-nausea prescription finally came through. I usually do fine taking pill forms of codeine, such as vicodin etc, but find that in taking this during the day, it causes such dizziness that you feel like you&#039;re on a horrible theme park ride. Do not recommend if you are susceptible to vomiting from being too dizzy; seems to work for others though."""	4	28-Feb-11	21
53804	Zipsor	Pain	"""I take Zipsor for ankylosing spondylitis, I find it very effective, I recently had shingles was shocked the effect it had on the pain from the shingles."""	10	19-May-13	18
118617	Milk of Magnesia	Constipation	"""After giving birth, lay up in a hospital bed and taking all kinds of medicines. Milk of Magnesia is the best way to get the well needed relief. For me, it doesn&#039;t cause any of that rumbling you get with laxatives. Thanks."""	10	23-Aug-13	21
165405	Levonorgestrel	Birth Control	"""I got Skyla about a month ago and I&#039;m going in for my check up tomorrow...after reading a billion forums and stressing the heck out about it I finally did it... the insertion, well I didn&#039;t die so there is that but after that, it&#039;s been -so far so good- I did notice an increase in white heads here and there but nothing insane. I workout at a crazy crossfit type gym and again no issues. I was scared of gaining weight but I&#039;ve been able to lose weight to my surprise (6 pounds) which I attribute to me trying to eat better and exercise, but it hasn&#039;t been hard to lose weight at all. I haven&#039;t had intercourse yet but I&#039;ll report on that as well. Another thing it def DID NOT decrease my sex drive at all! Wins! Will update!"""	8	16-Jun-17	7
127255	Melatonin	Not Listed / Othe	"""I am a 13 year old boy and I take melatonin because I got a concussion but couldn&#039;t fall asleep and couldn&#039;t stay asleep. But then I took  melatonin and went asleep easier and was able to stay asleep. The only this that bothers me is that I can&#039;t sleep without it now. I could lay in bed for hours and not sleep. I take 3 milligrams of melatonin each night (prescribed by my doctor)."""	7	2-Nov-15	10
178010	Duloxetine	Osteoarthritis	"""Was taking Cymbalta for depression when my hip arthritis flared up.  I had seen the ads about Cymbalta for use in arthritis, but wasn&#039;t really taking it for that reason, so I didn&#039;t think too much about it. I switched to another depression medicine, after a period of weaning because of the high cost and side effects of Cymbalta.  Within 2 weeks my arthritis pain had become intense, almost unbearable.  Guess they are right in saying it helps with the pain.  It didn&#039;t totally remove the pain, but it did keep it under control.  Now I am struggling to find something else to help with the pain."""	5	19-Mar-12	54
32930	Seasonique	Ovarian Cysts	"""I love Seasonique! I have been using it for about 4 years. I was diagnosed with extremely painful ovarian cysts in 2012 and my obgyn suggested I take hormones. When she said I could take a scripT where I would only have 4 periods a YEAR I jumped at it. I noticed a difference right away. The only problem with this is I have A LOT, pretty much constant vaginal discharge (due to the progesterone). It&#039;s clear and watery. But this is manageable for me and for all the benefits of the pill for me: worth it. I love the fact that I only have 4 periods a year. And insurance (BCBS) covers 100% of the cost for me!"""	9	5-Mar-16	3
60760	MoviPrep	Bowel Preparation	"""I came across this page as I was half way through some moviprep and on the brink of throwing it up. I tried a straw, herbal tea chaser, soda water, mints and none of these helped. I then tried chewing gum, pinching my nose and not taking too big a gulp. I&#039;m now almost through the second lot. It&#039;s working but I haven&#039;t had the big rush to the loo that I was expecting. I have colonoscopies every couple of years and each time I forget how awful this stuff is. Why can&#039;t they just give us something to evacuate the bowel that is then followed by heaps of water to flush it through.... Good luck to all who have to drink this."""	9	15-Aug-16	30
147725	Norethindrone	Abnormal Uterine Bleeding	"""I am glad I came across this page.  I too have had a terrible experience with this pill.  I started them to control my periods and abnormal bleeding however, I have been bleeding for nearly 5 months with only a total 16 days of no bleeding.  They have been heavy and clotted.  I was told that it would take three months for my periods to taper off but it is just as bad now as it was 5 months ago.  I have not experienced any weight gain however on the days where I was not bleeding I was very bloated.  I even went to a couple of doctors thinking that I may have a serious medical condition but they found nothing.  Now I know that I am not the only one who is having this problem.  I have quit taking them and will be switching to a different brand"""	1	11-Nov-17	2
55080	Bupropion / naltrexone	Weight Loss	"""I lost 7 pounds in a little over a week taking Contrave. Contrave definitely gave me the extra boost that I needed. I walk 4,000 steps per day and have been eating healthy by choosing healthy foods and counting my calorie intake. For the first week getting used to the medication was a little difficult, I felt dizzy and a little nauseous but I feel no side effects now. My blood pressure is normal again and I feel great and confident about the days to come! I would recommend Contrave to anyone who&#039;s having a hard time losing weight!"""	10	13-May-16	20
213893	Tioconazole	Vaginal Yeast Infection	"""I read many reviews on this and thought well I will take it at night to avoid dealing with the pain. I slept like 7-8 hours. After maybe two hours of being awake the fire came in. I didn&#039;t have any itching but for the WHOLE day my vagina was ON FIRE. It really works. No way an infection can survive. Pain but I got results."""	10	18-Nov-16	6
51759	Aczone	Acne	"""I&#039;m 46, my face broke out a little. it wasn&#039;t that bad, but I wanted my face clear like it use to be. Now after using Aczone once a day for four weeks my face looks bad. My doctor wants to see me in another four weeks. I have it&#039;s been another two weeks and my face looks bad."""	1	19-Oct-11	8
88918	Lactulose	"Constipation, Acute"	"""If you don&#039;t mind the overwhelming feeling of urgency and flatulence, you can take 5 tablespoons of lactulose along with a bowl of bran cereal for breakfast.  No matter how hard they try, most people won&#039;t be able to hold back the results after 4 hours."""	10	25-Jul-17	5
205352	Pristiq	Depression	"""I was experiencing headaches, like by brain was wound tight w a Rubberband, didn&#039;t want to get our of bed, no reason to... my dr prescribed pristiq.  It has been a life changer... head feels much better, depression is gone, life is happy again.... side effects are flu like symptoms, crashing, if I miss a dose.   I take a .25 mg.  I ha e tried to come off before and experienced severe headaches and flue like symptoms, and severe body aches.. so I got back on...  it is expensive but I buy a 90 day generic  supply thru Canadian pharmacy for 120.00.  Ins doesnt pay due to out of the country but it is still less than what I wld have to pay in the us.."""	9	11-May-16	34
205319	Pristiq	Depression	"""I couldn&#039;t be happier with Pristiq as it has helped me get back in the game of life again. I started taking Pristiq six weeks ago, following its recommendations and those who have had success on it. While on daily Pristiq, I also do 30 minutes of exercise (rebounding, walking, swimming), drink 2 litres of water, only 1 cup of  coffee/ tea a day and no alcohol. Regular bedtime/risetime (8 hours min sleep). Quick results help me to persevere for 3 weeks to form new habits and get control of my life again.  The rebounding offset my dizziness, nausea, sluggishness, constipation and &quot;I-don&#039;t-feel-like-it&quot;s.  Pristiq and a healthier lifestyle have me feeling like my old self again, enjoying life, friendships, good health and work again."""	10	3-Jan-17	42
213788	Tioconazole	Vaginal Yeast Infection	"""I am currently on antibiotics for a respiratory infection &amp; I felt the YI coming. I purchased monistat 1 pre-filled ointment &amp; used it early on so I didn&#039;t have any discomfort, raw skin or itching before use. I used the application after my shower &amp; before bed. I woke up with an insanely inflamed vag, I could barely walk. Reading these review a lot of people aren&#039;t saying that once the medicine is taken the yeast will begin to spew out of the vag which explains why I woke up &amp; my undies were nearly soaked (yuck I know) causing the irritation, raw itchy &amp; inflamed skin. Besides all that I noticed the swelling burning &amp; discharge subsided all that day. This medicine actually works really well, you just have to keep clean &amp; dry to rid symptoms"""	10	18-Jan-17	0
54418	Bupropion / naltrexone		"""I will never buy this product because of their online ad.  It doesn&#039;t have an X to click and it goes on and on preventing me from my online business.  Don&#039;t companies know when they create these annoying ads, people go out of their way to not buy them."""	1	1-Oct-17	0
227845	Etonogestrel	Birth Control	"""I like the Implanon, because its something that you don&#039;t have to worry about. I had an unplanned pregnancy when I was 17. I am now 18 and I have the Implanon. It is sore the first couple of days, but you forget about it. Just like you forget about a tattoo you might have. The bleeding is irregular for me, but it&#039;s not that big of a deal to me. I didn&#039;t have a period for about two months when I first got it, but then my next period lasted 2 1/2 weeks. Don&#039;t let those bad reviews scare you away. It&#039;s a great birth control. I RECOMMEND IT!"""	10	29-Sep-11	0
71703	Tramadol	Depression	"""Well besides depression I battled with eating disorders my whole life. I never knew of this Med until 2 years ago. It really has helped me with my ED , anxiety, mood and energy! Sadly it&#039;s hard to get a prescription because is more of a narcotic"""	10	10-May-17	24
226879	Etonogestrel	Birth Control	"""I&#039;ve had it for 4 months now. Had a regular period for 3 weeks, then I just spotted for a month and a half. No period since the. (Yay!) Down fall is I&#039;m blowing up like a balloon! If I keep gaining weight, I will consider removing it. Losing my period is not worth not fitting into any of my clothes."""	6	15-Dec-14	17
50895	Azithromycin	Chlamydia Infection	"""11 weeks pregnant and took this for a sinus infection. 500mg for 3 days. Stomach pain that starts about an hour after taking and lasts for several hours. I have a rock iron stomach so no diarrhea but terrible gas!! Not fun stuff but when you&#039;re allergic to the --cillin family there&#039;s not much choice!"""	8	3-Mar-17	4
118729	Drospirenone / ethinyl estradiol	Birth Control	"""Ending my 4th day taking this BC and I&#039;ve been extremely nauseous since yesterday, didn&#039;t even go to work today. Weak. So sick feeling, bloated, constipated, angry and NOOOOO fuse. Yelling at my kids. So upset over this, I hate BC pills."""	1	28-Sep-17	0
132551	Doxepin	Insomnia	"""Had a brain injury, sleep 2 to 3 hours a night. Take Doxepin 10 mg I have found to take the capsule a part dump out about 5 mg of medicine.  I can sleep 6 to 7 hours and wake up feeling great. No hangover.  Even if I wake up during the night I can go back to sleep. This drug is wonderful if used correctly"""	10	25-Nov-15	36
75967	Pioglitazone	"Diabetes, Type 2"	"""I had never had any medicines that controlled my blood sugar levels like ACTOS. I am so happy to stay in my 100 realm."""	10	2-May-09	30
136319	Prazosin	Nightmares	"""It worked OK the first couple of nights then terrible sweat soaked nightmares returned,  but they go back and forth and I was instructed to stop taking it a week after I started and now my nightmares are on and off.  I told my mother today that I think it was a placebo but even if it is I&#039;m very happy it slowed  the night terrors a lot."""	8	26-Jan-16	11
90338	Desloratadine	Allergic Rhinitis	"""I used this drug for controlling allergy to dust, mold etc. It took a while to work for me. It is not quick acting such as Benadryl. Once you have taken Clarinex for about a month it has controlled my allergies quite well. However, after using the drug for years I have some breakthrough allergies and have to use Benadryl anyway. I have a lot of low grade headaches, palpitations (which may be stress or the drug), and have developed over the years dyshydrotic eczema or something like it. """	7	9-Nov-09	3
75738	Temazepam	Insomnia	"""I was prescribed this after being on ambein for a while. The ambien kinda ran it&#039;s course. I took this the first night I felt relaxed but not sleepy at all. It took me about an hour to fall asleep and then I woke up 4 hours later and couldn&#039;t go back to sleep. I decided to give it a second try with melatonin . I can tell the medication wasn&#039;t working again. But I was so tired from the lack of sleep I couldn&#039;t even tell. And it was giving me headaches. I&#039;m done. I&#039;m taking my ambien this weekend until I get a hold of my doctor. The ambien works much better, not well, but better. I don&#039;t recommend this, however, everyone is different."""	1	18-Sep-16	13
136470	Entyvio	Crohn's Disease	"""Very pleased with Entyvio. I&#039;ve been in remission and the medication is working very well for me for the last 2.5 years. I do experience bad side effects that last about 24 hours after infusion including severe fatigue, headache, all over body pain. I have to say the pros outweigh the cons for me."""	9	12-May-17	8
4357	Gefitinib	Non-Small Cell Lung Cance	"""I (78 y.o. male) was diagnosed with NSCLC in March 2011 and in late May I started taking Iressa as a first line of treatment. For the first five months my only side effect was a mild rash. I then had swollen gums and stomach acid.  Both quickly responded to antibiotics. 75 days between the March and May CT scans the tumor increased by 86% (from 4.9 x 4 cms).  50 days later in July, after taking Iressa, the CT scan revealed an 83% reduction.  From March to July it reduced by 69% and in December, although subtle, there has been further reduction."""	9	9-Dec-11	18
157962	Accutane	Acne	"""I have been on Accutane for only 2 months now and my skin hasn&#039;t looked this good since I was maybe 14 and I am 19 now! I have had only doses of 20mg for the past 2 months but the only side effect I have had is the dry lips and skin. It&#039;s going so great and I highly recommend it to people that are struggling with acne! I struggled real bad this past year (my freshmen year in college) and I tried everything before this. It&#039;s a process, but I noticed results in my first month!"""	9	18-Nov-09	18
124574	Skyla	Birth Control	"""I am 24 and have no kids. I have had skyla in for 4 months now. I took an aleve an hour before the IUD was inserted and had some pain right after the insertion for 5 seconds. Afterwards, I had two days of cramps and spotting, but nothing unbearable. Since that day I have had no issues. I have more intense cramps around the time of my period but my period lasts less than 3 days. The second month I missed my period all together which made me nervous but my doctor said it was normal and I had my period the following month. I have no spotting between periods. I also do not have any mood swings, depression, and weight gain, which were side effects for me with oral birth control pills and the nuvaring. I would definitely recommend skyla."""	10	18-Feb-15	9
230304	Meloxicam	Inflammatory Conditions	"""This medicine was wonderful. I felt like a new me. No aches, no soreness or pain. BUT, a blood test showed elevated something(sorry, can&#039;t remember what). so I had to have a tube down my throat (sedated) to check out my pancreas.  It was inflamed even though I had no symptoms. So sadly I can&#039;t take Mobic any more. Was told to take 2 Aleve and Prilosec to protect my stomach.   Aleve is O.K. but not as good as Mobic."""	9	24-May-16	19
178118	Duloxetine	Bipolar Disorde	"""While on Cymbalta I became suicidal. """	1	16-Sep-11	20
49606	Ethinyl estradiol / levonorgestrel	Birth Control	"""This birth control worked in the sense that it prevents pregnancy however I suffered from horrible side effects. I had never struggled with bad acne before but I began getting cysts around my jawline and breakout on my cheeks (which I never got before). Not sure about any other side effects. I didn&#039;t pay much attention to that because my face was my main concern. I took this for 3 months and I ended up switching to a different pill."""	3	15-Sep-15	8
104273	Ethinyl estradiol / levonorgestrel	Birth Control	"""I was given Orsythia because my pharmacist switched me from Lutera. This birth control actually kills my appetite resulting in a little weight loss and even better, increased my breast size. My main complaint is that I get large, deep breakouts on my chin but a salicylic acid facial cleanser is helping with them. Also, I wake up in a bad mood every morning. I have only been on this birth control for a few weeks and definitely isn&#039;t as good as Lutera but I will wait for my body to adjust a little more. I would definitely say give it a try before you call your pharmacist screaming."""	7	8-Oct-12	11
100915	Orlistat	Obesity	"""Just over 4 weeks ago I started taking Xenical that my doctor prescribed me. On the day of started I was 23 stone 13 lbs, I am now 22 stone 5lbs, so I have lost 21lbs in just over 4 weeks! I was sensible enough to read online reviews and decided to make sure I eat as less fat as possible. When I&#039;m hungry at lunch I occasionally had a egg and bacon sandwich but cooked in no fat and using fry lite spray, cut the fat off the meat. I have a sensible normal dinner and breakfast sometimes toast with no butter with a banana inside or a couple slices ham. I have cut out all the junk. Side effects for the first few days slight tummy cramp and very occasionally a looser stool when going to the toilet, but no other side effects at all."""	9	13-Feb-10	140
184242	Hydroxyzine	Anxiety	"""This stuff is terrible. A few months ago, my Dr. prescribed me 25mg....it actually makes my anxiety worse. To top that, my legs get so restless I can barely hold still. The funny part is, it does make me tired....but it&#039;s like it&#039;s not blocking the anxiety. It&#039;s so frustrating, I&#039;m ready to flush the remainder down the toilet where it belongs!"""	1	22-Jan-16	8
