,symptom,review
128,pain in your lower tummy or back (pelvic pain) – usually worse during your period  period pain that stops you doing your normal activities  pain during or after sex  pain when peeing or pooing during your period  feeling sick  constipation  diarrhoea  or blood in your pee or poo during your period ,Endometriosis
129,Enteric Fever  Salmonella Typhi Infection  Typhoid Fever,Enteric fever
130,Abdominal cramps Severe bloody diarrhea Non-bloody diarrhea Little to no fever Fatigue Nausea Hemolytic uremic syndrome (HUS)  a serious complication that can cause symptoms of decreased urination  extreme fatigue  pale skin  and anemia,Enterohaemorrhagic Escherichia coli (EHEC) infection
131,fever  runny nose  sneezing  cough  skin rash  mouth blisters  and body and muscle aches,Enterovirus
132,Fever and chills  Headache  Rapid breathing  Body and muscle aches  Rash  Cough  Nausea  Vomiting ,Epidemic louse-borne typhus
133,"uncontrollable jerking and shaking  called a ""fit"" losing awareness and staring blankly into space  becoming stiff  strange sensations  such as a ""rising"" feeling in the tummy  unusual smells or tastes  and a tingling feeling in your arms or legs  collapsing",Epilepsy
134,Trouble getting an erection  Trouble keeping an erection  Reduced sexual desire ,Erectile dysfunction (impotence)
135,diarrhoea  stomach cramps and occasionally fever  About half of people with the infection will have bloody diarrhoea,Escherichia coli (E  coli) O157
136,Diarrhea  which may range from mild and watery to severe and bloody  Stomach cramping  pain or tenderness  Nausea and vomiting  in some people,Escherichia coli infection
137,bone pain – this may get worse over time and may be worse at night  a tender lump or swelling  a high temperature that does not go away  feeling tired all the time  unintentional weight loss ,Ewing sarcoma
138,shadows  flashes of light  or wiggly lines in your vision  blurred vision  a dark patch in your eye that's getting bigger  partial or total loss of vision  bulging of 1 eye  a lump on your eyelid or in your eye that's increasing in size  eye irritation that is not going away ,Eye cancer
139,your child's body will become stiff and their arms and legs will begin to twitch  they'll lose consciousness and they may wet or soil themselves  they may also vomit and foam at the mouth and their eyes may roll back  the seizure usually lasts for less than five minutes ,Febrile seizures
140,sudden fever  chills  headaches  muscle or joint aches  and nausea  A rash may also occur,Febris recurrens
141,Sweating  Chills and shivering  Headache  Muscle aches  Loss of appetite  Irritability  Dehydration  General weakness ,Fever
142,Heavy menstrual bleeding  Menstrual periods lasting more than a week  Pelvic pressure or pain  Frequent urination  Difficulty emptying the bladder  Constipation  Backache or leg pains ,Fibroids
143,Pain and stiffness all over the body  Fatigue and tiredness  Depression and anxiety  Sleep problems  Problems with thinking  memory  and concentration  Headaches  including migraines ,Fibromyalgia
144,passing wind often  smelly flatus  loud flatus  abdominal distension and discomfort  rumblings in the lower abdomen ,Flatulence
145,fever or feeling feverish/chills  cough  sore throat  runny or stuffy nose  muscle or body aches  headaches  fatigue (tiredness) some people may have vomiting and diarrhea  though this is more common in children than adults ,Flu
146,Low body weight  Poor coordination  Hyperactive behavior  Difficulty with attention  Poor memory  Difficulty in school (especially with math) Learning disabilities  Speech and language delays ,Foetal alcohol syndrome
147,nausea  vomiting  fever and stomach cramps  Each bacterium produces other symptoms  such as: Salmonella: bloody diarrhea  fever  headache  lack of energy  Shigella: blood or mucus in the stool ,Food- and waterborne diseases
148,High fever (temperature over 102°F  measured in your mouth) Frequent vomiting that prevents keeping liquids down (which can lead to dehydration) Signs of dehydration  including little or no urination  a very dry mouth and throat  or feeling dizzy when standing up  Diarrhea that lasts more than 3 days,Food poisoning
149,"Weakness or paralysis  Abnormal movement  such as tremors or difficulty walking  Loss of balance  Difficulty swallowing or feeling ""a lump in the throat"" Seizures or episodes of shaking and apparent loss of consciousness (nonepileptic seizures) Episodes of unresponsiveness ",Functional neurological disorder (FND)
150,discolouration of the nail,Fungal nail infection
151,Jaundice (yellowing of the skin  including the gums and inner lips  and yellowing of the whites of the eyes) Abdominal pain and cramping  Nausea and vomiting  Bloating  A lump in the abdomen  Fever  Itchy skin ,Gallbladder cancer
152,Sudden and rapidly intensifying pain in the upper right portion of your abdomen  Sudden and rapidly intensifying pain in the center of your abdomen  just below your breastbone  Back pain between your shoulder blades  Pain in your right shoulder  Nausea or vomiting ,Gallstones
153,Ganglion cysts usually are painless  But if a cyst presses on a nerve — even if the cyst is too small to form a noticeable lump — it can cause pain  tingling  numbness or muscle weakness ,Ganglion cyst
154,Watery  usually nonbloody diarrhea — bloody diarrhea usually means you have a different  more severe infection  Nausea  vomiting or both  Stomach cramps and pain  Occasional muscle aches or headache  Low-grade fever,Gastroenteritis
155,heartburn (an uncomfortable burning sensation in the chest that often occurs after eating) acid reflux (where stomach acid comes back up into your mouth and causes an unpleasant  sour taste) oesophagitis (a sore  inflamed oesophagus) bad breath  bloating and belching  feeling or being sick ,Gastro-oesophageal reflux disease (GORD)
156,Herpes sores usually appear as one or more blisters on or around the genitals  rectum or mouth  This is known as having an “outbreak”  The blisters break and leave painful sores that may take a week or more to heal  Flu-like symptoms (e g   fever  body aches  or swollen glands) also may occur during the first outbreak,Genital herpes
157,lumps or growths around your vagina  penis or anus that were not there before,Genital warts
158,constipation or trouble holding pee if the tumor is in the pelvis  leg weakness if the tumor presses on the nerves at the bottom of the spine  a testicle of an unusual shape or size,Germ cell tumours
159,a low-grade fever  sore throat  and a rash that starts on the face and spreads to the rest of the body ,German measles
160,having 2 to 5 loose stools (poop) per day and progressively increasing fatigue  Other  less common symptoms include fever  itchy skin  hives  and swelling of the eyes and joints,Giardiasis
161,a very high temperature or you feel hot and shivery  a severe sore throat  swelling either side of your neck – swollen glands  extreme tiredness or exhaustion  tonsillitis that is not getting better,Glandular fever
162,a thick green or yellow discharge from the vagina or penis  pain when peeing and  in women  bleeding between periods,Gonorrhoea
163,severe pain in one or more joints  the joint feeling hot and very tender  swelling in and around the affected joint  red  shiny skin over the affected joint,Gout
164,bad breath and a bad taste in the mouth  your gums shrinking  your teeth becoming loose or falling out,Gum disease
165,Fever and chills  Excessive tiredness  Pain in the belly  Nausea with or without vomiting  Diarrhea  Anxiety  Shortness of breath or difficulty breathing  Altered mental status (confusion),Haemophilus infection
166,Fever  Aches and pains  such as severe headache and muscle and joint pain  Weakness and fatigue  Sore throat  Loss of appetite  Gastrointestinal symptoms including abdominal pain  diarrhea  and vomiting  Unexplained hemorrhaging  bleeding or bruising ,Haemorrhagic fever
167,Initial symptoms begin suddenly and include intense headaches  back and abdominal pain  fever  chills  nausea  and blurred vision,Haemorrhagic fever with renal syndrome
168,bright red blood after you poo  an itchy anus  feeling like you still need to poo after going to the toilet  mucus in your underwear or on toilet paper after wiping your bottom  lumps around your anus  pain around your anus ,Haemorrhoids (piles)
169, fever  mouth sores  and skin rash  The rash is commonly found on the hands and feet,Hand  foot and mouth disease
170,fatigue  fever and muscle aches  especially in the large muscle groups—thighs  hips  back  and sometimes shoulders  These symptoms are universal  There may also be headaches  dizziness  chills  and abdominal problems  such as nausea  vomiting  diarrhea  and abdominal pain ,Hantavirus infection
171,frequent sneezing  runny or blocked nose  itchy  red or watery eyes (allergic conjunctivitis) an itchy throat  mouth  nose and ears  cough  caused by postnasal drip (mucus dripping down the throat from the back of the nose),Hay fever
172,include a lump in the neck or a sore in the mouth or the throat that does not heal and may be painful  a sore throat that does not go away  difficulty in swallowing  and a change or hoarseness in the voice  These symptoms may also be caused by other  less serious conditions,Head and neck cancer
173,Intense itching on the scalp  body or in the genital area  A tickling feeling from movement of hair  The presence of lice on your scalp  body  clothing  or pubic or other body hair      Lice eggs (nits) on hair shafts      Sores on the scalp  neck and shoulders ,Head lice and nits
174,Slow onset of the headache  Head usually hurts on both sides  Pain is dull or feels like a band or vice around the head  Pain may involve the back part of the head or neck  Pain is mild to moderate  but not severe ,Headaches
175,Muffling of speech and other sounds  Difficulty understanding words  especially against background noise or in a crowd  Trouble hearing consonants  Frequently asking others to speak more slowly  clearly and loudly  Needing to turn up the volume of the television or radio,Hearing loss
176,Shortness of breath with activity or when lying down  Fatigue and weakness  Swelling in the legs  ankles and feet  Rapid or irregular heartbeat  Reduced ability to exercise  Persistent cough or wheezing with white or pink blood-tinged mucus  Swelling of the belly area (abdomen),Heart failure
177,fever  fatigue  loss of appetite  nausea  vomiting  abdominal pain  dark urine  light-colored stools  joint pain  and jaundice ,Hepatitis
178,Yellow skin or eyes  Not wanting to eat  Upset stomach  Throwing up  Stomach pain  Fever  Dark urine or light- colored stools  Diarrhea ,Hepatitis A
179,Fever  Fatigue  Loss of appetite  Nausea  Vomiting  Abdominal pain  Dark urine  Clay-colored bowel movements ,Hepatitis B
180,approximately 80% of people do not exhibit any symptoms  Those who are acutely symptomatic may exhibit fever  fatigue  decreased appetite  nausea  vomiting  abdominal pain  dark urine  pale faeces  joint pain and jaundice (yellowing of skin and the whites of the eyes),Hepatitis C
181,fatigue  poor appetite  stomach pain  nausea  and jaundice  However  many people with hepatitis E  especially young children  have no symptoms,Hepatitis E
182,have a painful burning feeling in your chest  often after eating (heartburn) bring up small amounts of food or bitter-tasting fluids (acid reflux) have bad breath  burp and feel bloated  feel or be sick  have difficulty or pain when swallowing ,Hiatus hernia
183,sudden loss of balance and coordination  sudden dizziness  facial asymmetry (drooping eyelid and mouth on just one side) inability to move  particularly affecting just one side of your body  confusion  slurring words  numbness in your face  arm  or leg  especially on one side of your body ,High cholesterol
184,Fever  Fatigue  Swollen lymph nodes — often one of the first signs of HIV infection  Diarrhea  Weight loss  Oral yeast infection (thrush) Shingles (herpes zoster) Pneumonia ,HIV
185,Painless swelling of lymph nodes in your neck  armpits or groin  Persistent fatigue  Fever  Night sweats  Losing weight without trying  Severe itching  Pain in your lymph nodes after drinking alcohol ,Hodgkin lymphoma
186,HPV does not usually cause any symptoms  Most people who have it do not realise and do not have any problems  But sometimes the virus can cause painless growths or lumps around your vagina  penis or anus (genital warts),Human papillomavirus infection
187,difficulty concentrating and memory lapses  depression  stumbling and clumsiness  involuntary jerking or fidgety movements of the limbs and body  mood swings and personality changes  problems swallowing  speaking and breathing  difficulty moving ,Huntington's disease
188,Abdominal pain  nausea and vomiting are commonly seen when hydatids occur in the liver  If the lung is affected  clinical signs include chronic cough  chest pain and shortness of breath  Other signs depend on the location of the hydatid cysts and the pressure exerted on the surrounding tissues,Hydatidosis
189,increased thirst and a dry mouth  needing to pee frequently  tiredness  blurred vision  unintentional weight loss  recurrent infections  such as thrush  bladder infections (cystitis) and skin infections ,Hyperglycaemia (high blood sugar)
190,main symptom of hyperhidrosis is heavy sweating  This goes beyond the sweating from being in a hot environment  exercising  or feeling anxious or stressed  The type of hyperhidrosis that usually affects the hands  feet  underarms or face causes at least one episode a week when you're awake,Hyperhidrosis
191,sweating  feeling tired  dizziness  feeling hungry  tingling lips  feeling shaky or trembling  a fast or pounding heartbeat (palpitations) becoming easily irritated  tearful  anxious or moody ,Hypoglycaemia (low blood sugar)
192,shortness of breath  a persistent dry cough  tiredness  loss of appetite and weight loss  rounded and swollen fingertips (clubbed fingers),Idiopathic pulmonary fibrosis
193,Impetigo starts as a red  itchy sore  As it heals  a crusty  yellow or “honey-colored” scab forms over the sore  Symptoms include red  itchy sores that break open and leak a clear fluid or pus for a few days  Next  a crusty yellow or “honey-colored” scab forms over the sore  which then heals without leaving a scar ,Impetigo
195,The cough and tired feeling may last for weeks  Sometimes  the fever comes back  Some people may not feel like eating,Influenza A (H9N2)
196,Fever of 100 degrees Fahrenheit (37 degrees Celsius) or higher  Cough  Body and muscle aches  Sore throat  Nausea and vomiting  Diarrhea  Stuffy or runny nose  Pink eye (conjunctivitis)  Bird flu may also cause severe respiratory symptoms and conditions  including:  Shortness of breath (dyspnea)  Pneumonia  Acute respiratory distress  Respiratory failure ,Influenza in humans  avian origin
197,Fever Aching muscles Chills and sweats Headache Dry  persistent cough Shortness of breath Tiredness and weakness Runny or stuffy nose Sore throat Eye pain Vomiting and diarrhea  but this is more common in children than adults,Influenza in humans  pandemic
198,sudden onset of fever  cough (usually dry)  headache  muscle and joint pain,Influenza in humans  seasonal
199,body aches chills cough headache sore throat fever tiredness vomiting and diarrhea  less commonly,Influenza in humans  swine origin
200,An ingrown toenail may cause pain  inflamed skin  swelling and  sometimes  infection around the toenail  Ingrown toenails are a common condition in which the corner or side of a toenail grows into the soft flesh  The result is pain  inflamed skin  swelling and  sometimes  an infection,Ingrown toenail
201,dizzy spells · palpitations · blackouts · shortness of breath ,Inherited heart conditions
202,Difficulty falling asleep at night  Waking up during the night  Waking up too early  Not feeling well-rested after a night's sleep  Daytime tiredness or sleepiness  Irritability  depression or anxiety  Difficulty paying attention  focusing on tasks or remembering  Increased errors or accidents ,Insomnia
203,Ear infection (otitis media) Symptoms may include:  Pain  Loss of appetite  Irritability  Poor sleep  Fever  Drainage  Difficulty hearing  Bronchitis Symptoms may include:  A frequent  mucus-producing cough  Lack of energy  Wheezing  Fever  Shortness of breath  Cellulitis Symptoms may include:  Pain  Tenderness  Swelling  Warmth  Discoloration  Blisters  Fever and chills  Fatigue  Epiglottitis Symptoms may include:  Severe sore throat  Fever  Raspy breathing called stridor  Difficulty swallowing  Drooling  Difficulty breathing  Pneumonia Symptoms may include:  Fever and chills  Cough  Shortness of breath  Difficulty breathing  Sweating  Chest pain  Headache  Muscle pain  Fatigue  Meningitis Symptoms may include:  Fever  Headache  Stiff neck  Fatigue  Decreased appetite  Nausea and vomiting  Irritability  Confusion  Seizures  Bloodstream infection (septicemia) Symptoms may include:  Fever and chills  Abdominal pain  Nausea and vomiting  Diarrhea  Anxiety or confusion  Fatigue  Shortness of breath  Difficulty breathing  Septic arthritis Symptoms may include:  Fever  Joint pain  Tenderness  Swelling  Warmth  Decreased range of motion ,Invasive Haemophilus influenzae disease
204, Fever Headache Stiff neck Nausea Vomiting Photophobia (eyes being more sensitive to light) Altered mental status (confusion),Invasive meningococcal disease
205,fever  cough  shortness of breath  chest pain  stiff neck  confusion  increased sensitivity to light  joint pain  chills  ear pain  sleeplessness  and irritability,Invasive pneumococcal disease
206,Extreme fatigue  Weakness  Pale skin  Chest pain  fast heartbeat or shortness of breath  Headache  dizziness or lightheadedness  Cold hands and feet  Inflammation or soreness of your tongue  Brittle nails ,Iron deficiency anaemia
207,abdominal (stomach) pain and cramping  which may be relieved by moving your bowels  a change in your bowel habits – such as diarrhoea  constipation or sometimes both  bloating and swelling of your stomach  excessive wind (flatulence) occasionally experiencing an urgent need to move your bowels ,Irritable bowel syndrome (IBS)
208,Hip pain and limping pain in the knee or thigh  restricted movement in one of the hip joints  a slightly higher temperature than normal – a normal temperature is around 37C (98 6F),Irritable hip
209,skin conditions – such as eczema  allergies or skin reactions  parasitic infestations – such as scabies  insect bites and stings  fungal infections – such as athlete's foot or vaginal thrush  hormonal changes during pregnancy or the menopause ,Itching
210,The itch in or around the anus is often intense and can be embarrassing and uncomfortable  Anal itching  also called pruritus ani (proo-RIE-tus A-nie)  has several possible causes  They include infections  hemorrhoids and ongoing diarrhea ,Itchy bottom
211,Initial symptoms often include fever  headache  and vomiting  Mental status changes  neurologic symptoms  weakness  and movement disorders might develop over the next few days  Seizures are common  especially among children  Among patients who develop encephalitis (infection of the brain)  20% – 30% die ,Japanese encephalitis virus
212,Lesions on the skin  The first signs of Kaposi are usually cancerous lesions (spots) on the skin that are purple  red or brown and can appear flat or raised Lesions on mucous membranes Lesions inside the body Lymph nodes,Kaposi's sarcoma
213,Blood in the urine (hematuria) Low back pain on one side (not caused by injury) A mass (lump) on the side or lower back  Fatigue (tiredness) Loss of appetite  Weight loss not caused by dieting  Fever that is not caused by an infection and that doesn't go away ,Kidney cancer
214,pain and discomfort in your side  lower back or around your genitals  a high temperature  shivering or chills  feeling very weak or tired  loss of appetite  feeling sick or being sick  diarrhoea ,Kidney infection
215,Severe  sharp pain in the side and back  below the ribs  Pain that radiates to the lower abdomen and groin  Pain that comes in waves and fluctuates in intensity  Pain or burning sensation while urinating ,Kidney stones
216,a feeling of pressure inside your ear(s) ringing or humming in your ear(s) (tinnitus) fluid or pus leaking out of your ear(s) ear pain  feeling sick (nausea) or being sick  a high temperature (fever) of 38C (100 4F) or above  changes in vision  such as blurred vision or double vision  mild headaches ,Labyrinthitis
217,farting  diarrhoea  a bloated stomach  stomach cramps and pains  stomach rumbling  feeling sick ,Lactose intolerance
218,a change in your voice  such as sounding hoarse  pain when swallowing or difficulty swallowing  a lump or swelling in your neck  a long-lasting cough or breathlessness  a persistent sore throat or earache  a high-pitched wheezing noise when you breathe  in severe cases  difficulty breathing ,Laryngeal (larynx) cancer
219,hoarseness  difficulty speaking  sore throat  mild fever  irritating cough  a constant need to clear your throat ,Laryngitis
220,starts with fever general weakness  and malaise  After a few days  headache  sore throat  muscle pain  chest pain  nausea  vomiting  diarrhoea  cough  and abdominal pain may follow ,Lassa fever
221,Thigh muscle cramps tend to last the longest  During a cramping episode  the affected muscles will become tight and painful and the feet and toes will be stiff  After the cramps have passed  you may have pain and tenderness in your legs for several hours,Leg cramps
222,Cough  Shortness of breath  Fever  Muscle aches  Headaches ,Legionnaires’ disease
223,fever  weight loss  enlargement (swelling) of the spleen and liver  and abnormal blood tests ,Leishmaniasis
224,High fever  Headache  Chills  Muscle aches  Vomiting  Jaundice (yellow skin and eyes) Red eyes  Abdominal pain ,Leptospirosis
225,Purplish  flat bumps  most often on the inner forearm  wrist or ankle  and sometimes the genitals  Itching  Blisters that break to form scabs or crusts  Lacy white patches in the mouth or on the lips or tongue  Painful sores in the mouth or vagina  Hair loss  Change in scalp color  Nail damage or loss ,Lichen planus
226, fever  muscle aches  headache  stiff neck  confusion  loss of balance  and convulsions  Pregnant women: Pregnant women typically experience only fever  and other non-specific symptoms like chills and headache ,Listeriosis
227, Weight loss (without trying) Loss of appetite Feeling very full after a small meal Nausea or vomiting ,Liver cancer
228,Skin and eyes that appear yellowish (jaundice) Abdominal pain and swelling  Swelling in the legs and ankles  Itchy skin  Dark urine color  Pale stool color  Chronic fatigue  Nausea or vomiting,Liver disease
229,Losing weight without trying  Loss of appetite  Upper abdominal pain  Nausea and vomiting  General weakness and fatigue  Abdominal swelling  Yellow discoloration of your skin and the whites of your eyes (jaundice) White  chalky stools ,Liver tumours
230,relationship problems  stress  anxiety or depression  sexual problems like erectile dysfunction or vaginal dryness  pregnancy and having a baby – your hormone levels change when you're pregnant  and looking after a baby can be stressful and tiring ,Loss of libido
231,high fever  general malaise  chills and sweats  headache  meningism  myalgia/arthralgia and non-specific gastrointestinal symptoms (nausea and vomiting)  Mycocutaneous symptoms include conjunctival injection  scattered petechiae and erythematous rash ,Louse borne relapsing fever
232, headache  fatigue  and muscle aches  People with Lyme disease may also have joint pain  Rash  Lyme disease  Southern tick-associated rash illness (STARI)  Rocky Mountain spotted fever (RMSF)  ehrlichiosis  and tularemia can cause distinctive rashes,Louse-borne diseases
233,Fever and chills  Headache  Rapid breathing  Body and muscle aches  Rash  Cough  Nausea  Vomiting ,Louse-borne typhus
234,Coughing that gets worse or doesn't go away  Chest pain  Shortness of breath  Wheezing  Coughing up blood  Feeling very tired all the time  Weight loss with no known cause ,Lung cancer
235,Muscle and joint pain  You may experience pain and stiffness  with or without swelling      Fever  A fever higher than 100 degrees Fahrenheit affects many people with lupus      Rashes      Chest pain      Hair loss      Sun or light sensitivity      Kidney problems      Mouth sores ,Lupus
236, fever  headache  fatigue  and a characteristic skin rash called erythema migrans,Lyme disease
237,an aching  heavy feeling  difficulty with movement  repeated skin infections  the skin becoming hard and tight  folds developing in the skin  wart-like growths developing on the skin  a leakage of fluid through the skin ,Lymphoedema
238,blood or pus from the anus on underwear or after using toilet paper  pain in the anal area when pooing or having receptive anal sex  constipation  painful straining or loose poos when trying to open the bowels  a feeling of incomplete emptying after opening the bowels ,Lymphogranuloma venereum
239,blood or pus from the anus on underwear or after using toilet paper  pain in the anal area when pooing or having receptive anal sex  constipation  painful straining or loose poos when trying to open the bowels  a feeling of incomplete emptying after opening the bowels,Lymphogranuloma venereum (LGV)
240,fever and flu-like illness  including shaking chills  headache  muscle aches  and tiredness  Nausea  vomiting  and diarrhea may also occur  Malaria may cause anemia and jaundice (yellow coloring of the skin and eyes) because of the loss of red blood cells ,Malaria
241,Difficulty swallowing  facial weakness or numbness  or double vision is a symptom of a tumor in the brain stem  Vision changes  including loss of part of the vision or double vision can be from a tumor in the temporal lobe  occipital lobe  or brain stem,Malignant brain tumour (cancerous)
242,reduced appetite  lack of interest in food and drink  feeling tired all the time  feeling weaker  getting ill often and taking a long time to recover  wounds taking a long time to heal  poor concentration  feeling cold most of the time ,Malnutrition
243,rash  diarrhea  flushing  sweating  headache  and vomiting  Burning or swelling of the mouth  stomach pain  and a metallic taste may also occur  Most people have mild symptoms that are gone within 12 to 48 hours,Marine biotoxins related diseases
244,high fever  cough  runny nose  and watery eyes  Measles rash appears 3 to 5 days after the first symptoms,Measles
245,feel dizziness with a spinning sensation (vertigo) feel unsteady on your feet  feel sick (nausea) or be sick (vomit) hear ringing  roaring or buzzing inside your ear  have a sudden drop in hearing ,Meniere's disease
246,a high temperature (fever) being sick  a headache  a rash that does not fade when a glass is rolled over it (but a rash will not always develop) a stiff neck  a dislike of bright lights  drowsiness or unresponsiveness  seizures (fits),Meningitis
247,Fever and chills  Fatigue (feeling tired) Vomiting  Cold hands and feet  Severe aches or pain in the muscles  joints  chest  or abdomen (belly) Rapid breathing  Diarrhea  In the later stages  a dark purple rash ,Meningococcal disease
248,Irregular periods  Vaginal dryness  Hot flashes  Chills  Night sweats  Sleep problems  Mood changes  Weight gain and slowed metabolism ,Menopause
249,chest pain  shortness of breath  fatigue (extreme tiredness) a high temperature and sweating  particularly at night  a persistent cough  loss of appetite and unexplained weight loss  clubbed (swollen) fingertips,Mesothelioma
250,earache  a high temperature (fever) being sick  a lack of energy  slight hearing loss - if the middle ear becomes filled with fluid ,Middle ear infection (otitis media)
251,anges from no symptoms (asymptomatic) or mild respiratory symptoms to severe acute respiratory disease and death  A typical presentation of MERS is fever  cough and shortness of breath  Pneumonia is a common finding  but MERS patients may not always develop this condition  Gastrointestinal symptoms  including diarrhoea  have also been reported  Severe illness can cause respiratory failure that requires mechanical ventilation or support in an intensive care unit  Older people  people with weakened immune systems  and those with chronic diseases such as renal disease  cancer  chronic lung disease  hypertension  cardiovascular disease and diabetes appear to be at greater risk of developing severe disease ,Middle East respiratory syndrome coronavirus
252,severe throbbing pain or a pulsing sensation  usually on one side of the head  It's often accompanied by nausea  vomiting  and extreme sensitivity to light and sound,Migraine
253,cramping and pain in your lower tummy  a discharge of fluid from your vagina  a discharge of tissue from your vagina  no longer experiencing the symptoms of pregnancy  such as feeling sick and breast tenderness ,Miscarriage
254,Fever  Chills  Swollen lymph nodes  Exhaustion  Muscle aches and backache  Headache  Respiratory symptoms (e g  sore throat  nasal congestion  or cough),Monkeypox
255,fever  headache  muscle pain  joint pain  rash  vomiting  Diarrhea,Mosquito-borne diseases
256,slurred speech  which may develop into difficulty swallowing some foods  a weak grip – you might drop things  or find it hard to open jars or do up buttons  muscle cramps and twitches  weight loss – your arms or leg muscles may have become thinner over time ,Motor neurone disease (MND)
257,a lump in your neck  loose teeth  swelling or a sore on your lip that won't heal  difficult or painful swallowing  changes in speech  bleeding or numbness in the mouth  white or red patches on the mouth  tongue or gums  unexplained weight loss,Mouth cancer
258,One or more painful sores on part of the skin lining the mouth  Swollen skin around the sores  Problems with chewing or tooth brushing because of the tenderness  Irritation of the sores by salty  spicy or sour foods  Loss of appetite ,Mouth ulcer
259,Bone pain  especially in your spine or chest  Nausea  Constipation  Loss of appetite  Mental fogginess or confusion  Fatigue  Frequent infections  Weight loss ,Multiple myeloma
260,fatigue  vision problems  numbness and tingling  muscle spasms  stiffness and weakness  mobility problems  pain  problems with thinking  learning and planning  depression and anxiety ,Multiple sclerosis (MS)
261,Discomfort in the salivary glands (in the front of the neck) or the parotid glands (immediately in front of the ears)      Difficulty chewing  Pain and tenderness of the testicles  Fever  Headache  Muscle aches  Tiredness  ,Mumps
262,a blocked nose that does not go away and usually only affects 1 side  nosebleeds  a decreased sense of smell  mucus running from your nose – this can be bloody ,Nasal and sinus cancer
263,a lump in the neck that doesn't go away after 3 weeks  hearing loss (usually only in 1 ear) tinnitus (hearing sounds that come from inside the body rather than from an outside source) a blocked or stuffy nose (usually only blocked on 1 side) nosebleeds  headaches  double vision ,Nasopharyngeal cancer
264,Initial symptoms begin suddenly and include intense headaches  back and abdominal pain  fever  chills  nausea  and blurred vision  Individuals may have flushing of the face  inflammation or redness of the eyes  or a rash ,Nephropathia epidemica
265,Lump or swelling in the child's belly that doesn't seem to hurt  Swelling in the legs or in the upper chest  neck  and face  Problems with breathing or swallowing  Weight loss  Not eating or complaining about feeling full  Problems with bowel movements or urinating  Pain in bones ,Neuroblastoma: Children
266,Skin flushing  Diarrhea  Frequent urination  Increased thirst  Dizziness  Shakiness  Skin rash ,Neuroendocrine tumours
267,a dull or aching pain in the top right of the tummy (over the lower right side of the ribs) extreme tiredness  unexplained weight loss  Weakness,Non-alcoholic fatty liver disease (NAFLD)
268,Swollen lymph nodes in your neck  armpits or groin  Abdominal pain or swelling  Chest pain  coughing or trouble breathing  Persistent fatigue  Fever  Night sweats  Unexplained weight loss ,Non-Hodgkin lymphoma
269,Enlarged lymph nodes (seen or felt as lumps under the skin) Abdominal (belly) swelling or pain Feeling full after eating only a small amount of food Shortness of breath  wheezing  or cough Fever Weight loss Night sweats Fatigue (feeling very tired),Non-Hodgkin lymphoma: Children
270,vomiting  diarrhea  and stomach cramping  Less common symptoms can include low-grade fever or chills  headache  and muscle aches,Norovirus
271,bleeding from either or both nostrils  a sensation of flowing liquid at the back of the throat  the urge to swallow frequently,Nosebleed
272,breathlessness  increased sweating  snoring  difficulty doing physical activity  often feeling very tired  joint and back pain  low confidence and self-esteem  feeling isolated ,Obesity
273,Fear of contamination or dirt  Doubting and having difficulty tolerating uncertainty  Needing things orderly and symmetrical  Aggressive or horrific thoughts about losing control and harming yourself or others  Unwanted thoughts  including aggression  or sexual or religious subjects ,Obsessive compulsive disorder (OCD)
274,Excessive daytime sleepiness  Loud snoring  Observed episodes of stopped breathing during sleep  Abrupt awakenings accompanied by gasping or choking  Awakening with a dry mouth or sore throat  Morning headache  Difficulty concentrating during the day  Mood changes  such as depression or irritability ,Obstructive sleep apnoea
275,difficult or painful swallowing  new heartburn  reflux that doesn't go away  vomit that has blood in it  black or bloody stools  unexplained fatigue  feeling of choking when swallowing  discomfort in the upper abdomen particularly when eating ,Oesophageal cancer
276,white patches (plaques) in the mouth that can often be wiped off  leaving behind red areas that may bleed slightly  loss of taste or an unpleasant taste in the mouth  redness inside the mouth and throat  cracks at the corners of the mouth  a painful  burning sensation in the mouth ,Oral thrush in adults
277,Back pain  caused by a fractured or collapsed vertebra  Loss of height over time  A stooped posture  A bone that breaks much more easily than expected ,Osteoporosis
278,Bone pain or tenderness  A mass or lump (tumor) that is warm and might be felt through your skin  Swelling and redness at the site of your tumor  Increased pain with lifting (if it affects your arm)  Limping (if it affects your leg)  Limited movement (if it affects a joint) ,Osteosarcoma
279,ear pain  itching and irritation in and around your ear canal  redness and swelling of your outer ear and ear canal  a feeling of pressure and fullness inside your ear  scaly skin in and around your ear canal  which may peel off ,Otitis externa
280,Abdominal bloating or swelling  Quickly feeling full when eating  Weight loss  Discomfort in the pelvic area  Fatigue  Back pain  Changes in bowel habits  such as constipation  A frequent need to urinate,Ovarian cancer
281, pain or swelling in your tummy (abdomen) · a feeling of fullness or bloating in your tummy · needing to pee more often,Ovarian cancer: Teenagers and young adults
282,pelvic pain – this can range from a dull  heavy sensation to a sudden  severe and sharp pain  pain during sex  difficulty emptying your bowels  a frequent need to urinate  heavy periods  irregular periods or lighter periods than normal  bloating and a swollen tummy ,Ovarian cyst
283,nervousness  anxiety and irritability  hyperactivity – you may find it hard to stay still and have a lot of nervous energy  mood swings  difficulty sleeping  feeling tired all the time  sensitivity to heat  muscle weakness  diarrhoea ,Overactive thyroid
