disease,symptom
Enterohaemorrhagic Escherichia coli (EHEC) infection,Abdominal cramps Severe bloody diarrhea Non-bloody diarrhea Little to no fever Fatigue Nausea Hemolytic uremic syndrome (HUS)  a serious complication that can cause symptoms of decreased urination  extreme fatigue  pale skin  and anemia
Enterovirus,fever  runny nose  sneezing  cough  skin rash  mouth blisters  and body and muscle aches
Epidemic louse-borne typhus,Fever and chills. Headache. Rapid breathing. Body and muscle aches. Rash. Cough. Nausea. Vomiting.
Epilepsy,"uncontrollable jerking and shaking  called a ""fit"" losing awareness and staring blankly into space. becoming stiff. strange sensations  such as a ""rising"" feeling in the tummy  unusual smells or tastes  and a tingling feeling in your arms or legs. collapsing"
Erectile dysfunction (impotence),Trouble getting an erection. Trouble keeping an erection. Reduced sexual desire.
Escherichia coli (E. coli) O157,diarrhoea  stomach cramps and occasionally fever. About half of people with the infection will have bloody diarrhoea
Escherichia coli infection,Diarrhea  which may range from mild and watery to severe and bloody. Stomach cramping  pain or tenderness. Nausea and vomiting  in some people
Ewing sarcoma,bone pain – this may get worse over time and may be worse at night. a tender lump or swelling. a high temperature that does not go away. feeling tired all the time. unintentional weight loss.
Eye cancer,shadows  flashes of light  or wiggly lines in your vision. blurred vision. a dark patch in your eye that's getting bigger. partial or total loss of vision. bulging of 1 eye. a lump on your eyelid or in your eye that's increasing in size. eye irritation that is not going away.
Febrile seizures,your child's body will become stiff and their arms and legs will begin to twitch. they'll lose consciousness and they may wet or soil themselves. they may also vomit and foam at the mouth and their eyes may roll back. the seizure usually lasts for less than five minutes.
Febris recurrens,sudden fever  chills  headaches  muscle or joint aches  and nausea. A rash may also occur
Fever,Sweating. Chills and shivering. Headache. Muscle aches. Loss of appetite. Irritability. Dehydration. General weakness.
Fibroids,Heavy menstrual bleeding. Menstrual periods lasting more than a week. Pelvic pressure or pain. Frequent urination. Difficulty emptying the bladder. Constipation. Backache or leg pains.
Fibromyalgia,Pain and stiffness all over the body. Fatigue and tiredness. Depression and anxiety. Sleep problems. Problems with thinking  memory  and concentration. Headaches  including migraines.
Flatulence,passing wind often. smelly flatus. loud flatus. abdominal distension and discomfort. rumblings in the lower abdomen.
Flu,fever or feeling feverish/chills. cough. sore throat. runny or stuffy nose. muscle or body aches. headaches. fatigue (tiredness) some people may have vomiting and diarrhea  though this is more common in children than adults.
Foetal alcohol syndrome,Low body weight. Poor coordination. Hyperactive behavior. Difficulty with attention. Poor memory. Difficulty in school (especially with math) Learning disabilities. Speech and language delays.
Food- and waterborne diseases,nausea  vomiting  fever and stomach cramps. Each bacterium produces other symptoms  such as: Salmonella: bloody diarrhea  fever  headache  lack of energy. Shigella: blood or mucus in the stool.
Food poisoning,High fever (temperature over 102°F  measured in your mouth) Frequent vomiting that prevents keeping liquids down (which can lead to dehydration) Signs of dehydration  including little or no urination  a very dry mouth and throat  or feeling dizzy when standing up. Diarrhea that lasts more than 3 days
Functional neurological disorder (FND),"Weakness or paralysis. Abnormal movement  such as tremors or difficulty walking. Loss of balance. Difficulty swallowing or feeling ""a lump in the throat"" Seizures or episodes of shaking and apparent loss of consciousness (nonepileptic seizures) Episodes of unresponsiveness."
Fungal nail infection,discolouration of the nail
Gallbladder cancer,Jaundice (yellowing of the skin  including the gums and inner lips  and yellowing of the whites of the eyes) Abdominal pain and cramping. Nausea and vomiting. Bloating. A lump in the abdomen. Fever. Itchy skin.
Gallstones,Sudden and rapidly intensifying pain in the upper right portion of your abdomen. Sudden and rapidly intensifying pain in the center of your abdomen  just below your breastbone. Back pain between your shoulder blades. Pain in your right shoulder. Nausea or vomiting.
Ganglion cyst,Ganglion cysts usually are painless. But if a cyst presses on a nerve — even if the cyst is too small to form a noticeable lump — it can cause pain  tingling  numbness or muscle weakness.
Gastroenteritis,Watery  usually nonbloody diarrhea — bloody diarrhea usually means you have a different  more severe infection. Nausea  vomiting or both. Stomach cramps and pain. Occasional muscle aches or headache. Low-grade fever
Gastro-oesophageal reflux disease (GORD),heartburn (an uncomfortable burning sensation in the chest that often occurs after eating) acid reflux (where stomach acid comes back up into your mouth and causes an unpleasant  sour taste) oesophagitis (a sore  inflamed oesophagus) bad breath. bloating and belching. feeling or being sick.
Genital herpes,Herpes sores usually appear as one or more blisters on or around the genitals  rectum or mouth. This is known as having an “outbreak”. The blisters break and leave painful sores that may take a week or more to heal. Flu-like symptoms (e.g.  fever  body aches  or swollen glands) also may occur during the first outbreak
Genital warts,lumps or growths around your vagina  penis or anus that were not there before
Germ cell tumours,constipation or trouble holding pee if the tumor is in the pelvis. leg weakness if the tumor presses on the nerves at the bottom of the spine. a testicle of an unusual shape or size
German measles,a low-grade fever  sore throat  and a rash that starts on the face and spreads to the rest of the body.
Giardiasis,having 2 to 5 loose stools (poop) per day and progressively increasing fatigue. Other  less common symptoms include fever  itchy skin  hives  and swelling of the eyes and joints
Glandular fever,a very high temperature or you feel hot and shivery. a severe sore throat. swelling either side of your neck – swollen glands. extreme tiredness or exhaustion. tonsillitis that is not getting better
Gonorrhoea,a thick green or yellow discharge from the vagina or penis  pain when peeing and  in women  bleeding between periods
Gout,severe pain in one or more joints. the joint feeling hot and very tender. swelling in and around the affected joint. red  shiny skin over the affected joint
Gum disease,bad breath and a bad taste in the mouth. your gums shrinking. your teeth becoming loose or falling out
Haemophilus infection,Fever and chills. Excessive tiredness. Pain in the belly. Nausea with or without vomiting. Diarrhea. Anxiety. Shortness of breath or difficulty breathing. Altered mental status (confusion)
Haemorrhagic fever,Fever. Aches and pains  such as severe headache and muscle and joint pain. Weakness and fatigue. Sore throat. Loss of appetite. Gastrointestinal symptoms including abdominal pain  diarrhea  and vomiting. Unexplained hemorrhaging  bleeding or bruising.
Haemorrhagic fever with renal syndrome,Initial symptoms begin suddenly and include intense headaches  back and abdominal pain  fever  chills  nausea  and blurred vision
Haemorrhoids (piles),bright red blood after you poo. an itchy anus. feeling like you still need to poo after going to the toilet. mucus in your underwear or on toilet paper after wiping your bottom. lumps around your anus. pain around your anus.
Hand  foot and mouth disease, fever  mouth sores  and skin rash. The rash is commonly found on the hands and feet
Hantavirus infection,fatigue  fever and muscle aches  especially in the large muscle groups—thighs  hips  back  and sometimes shoulders. These symptoms are universal. There may also be headaches  dizziness  chills  and abdominal problems  such as nausea  vomiting  diarrhea  and abdominal pain.
Hay fever,frequent sneezing. runny or blocked nose. itchy  red or watery eyes (allergic conjunctivitis) an itchy throat  mouth  nose and ears. cough  caused by postnasal drip (mucus dripping down the throat from the back of the nose)
Head and neck cancer,include a lump in the neck or a sore in the mouth or the throat that does not heal and may be painful  a sore throat that does not go away  difficulty in swallowing  and a change or hoarseness in the voice. These symptoms may also be caused by other  less serious conditions
Head lice and nits,Intense itching on the scalp  body or in the genital area. A tickling feeling from movement of hair. The presence of lice on your scalp  body  clothing  or pubic or other body hair. ... Lice eggs (nits) on hair shafts. ... Sores on the scalp  neck and shoulders.
Headaches,Slow onset of the headache. Head usually hurts on both sides. Pain is dull or feels like a band or vice around the head. Pain may involve the back part of the head or neck. Pain is mild to moderate  but not severe.
Hearing loss,Muffling of speech and other sounds. Difficulty understanding words  especially against background noise or in a crowd. Trouble hearing consonants. Frequently asking others to speak more slowly  clearly and loudly. Needing to turn up the volume of the television or radio
Heart failure,Shortness of breath with activity or when lying down. Fatigue and weakness. Swelling in the legs  ankles and feet. Rapid or irregular heartbeat. Reduced ability to exercise. Persistent cough or wheezing with white or pink blood-tinged mucus. Swelling of the belly area (abdomen)
Hepatitis,fever  fatigue  loss of appetite  nausea  vomiting  abdominal pain  dark urine  light-colored stools  joint pain  and jaundice.
Hepatitis A,Yellow skin or eyes. Not wanting to eat. Upset stomach. Throwing up. Stomach pain. Fever. Dark urine or light- colored stools. Diarrhea.
Hepatitis B,Fever. Fatigue. Loss of appetite. Nausea. Vomiting. Abdominal pain. Dark urine. Clay-colored bowel movements.
Hepatitis C,approximately 80% of people do not exhibit any symptoms. Those who are acutely symptomatic may exhibit fever  fatigue  decreased appetite  nausea  vomiting  abdominal pain  dark urine  pale faeces  joint pain and jaundice (yellowing of skin and the whites of the eyes)
Hepatitis E,fatigue  poor appetite  stomach pain  nausea  and jaundice. However  many people with hepatitis E  especially young children  have no symptoms
Hiatus hernia,have a painful burning feeling in your chest  often after eating (heartburn) bring up small amounts of food or bitter-tasting fluids (acid reflux) have bad breath. burp and feel bloated. feel or be sick. have difficulty or pain when swallowing.
High cholesterol,sudden loss of balance and coordination. sudden dizziness. facial asymmetry (drooping eyelid and mouth on just one side) inability to move  particularly affecting just one side of your body. confusion. slurring words. numbness in your face  arm  or leg  especially on one side of your body.
HIV,Fever. Fatigue. Swollen lymph nodes — often one of the first signs of HIV infection. Diarrhea. Weight loss. Oral yeast infection (thrush) Shingles (herpes zoster) Pneumonia.
Hodgkin lymphoma,Painless swelling of lymph nodes in your neck  armpits or groin. Persistent fatigue. Fever. Night sweats. Losing weight without trying. Severe itching. Pain in your lymph nodes after drinking alcohol.
Human papillomavirus infection,HPV does not usually cause any symptoms. Most people who have it do not realise and do not have any problems. But sometimes the virus can cause painless growths or lumps around your vagina  penis or anus (genital warts)
Huntington's disease,difficulty concentrating and memory lapses. depression. stumbling and clumsiness. involuntary jerking or fidgety movements of the limbs and body. mood swings and personality changes. problems swallowing  speaking and breathing. difficulty moving.
Hydatidosis,Abdominal pain  nausea and vomiting are commonly seen when hydatids occur in the liver. If the lung is affected  clinical signs include chronic cough  chest pain and shortness of breath. Other signs depend on the location of the hydatid cysts and the pressure exerted on the surrounding tissues
Hyperglycaemia (high blood sugar),increased thirst and a dry mouth. needing to pee frequently. tiredness. blurred vision. unintentional weight loss. recurrent infections  such as thrush  bladder infections (cystitis) and skin infections.
Hyperhidrosis,main symptom of hyperhidrosis is heavy sweating. This goes beyond the sweating from being in a hot environment  exercising  or feeling anxious or stressed. The type of hyperhidrosis that usually affects the hands  feet  underarms or face causes at least one episode a week when you're awake
Hypoglycaemia (low blood sugar),sweating. feeling tired. dizziness. feeling hungry. tingling lips. feeling shaky or trembling. a fast or pounding heartbeat (palpitations) becoming easily irritated  tearful  anxious or moody.
Idiopathic pulmonary fibrosis,shortness of breath. a persistent dry cough. tiredness. loss of appetite and weight loss. rounded and swollen fingertips (clubbed fingers)
Impetigo,Impetigo starts as a red  itchy sore. As it heals  a crusty  yellow or “honey-colored” scab forms over the sore. Symptoms include red  itchy sores that break open and leak a clear fluid or pus for a few days. Next  a crusty yellow or “honey-colored” scab forms over the sore  which then heals without leaving a scar.
Indigestion,feeling uncomfortably full or heavy. belching or flatulence(passing wind) bringing food or fluid back up from your stomach (reflux) bloating. feeling sick (nausea) vomiting.
Influenza A (H9N2),The cough and tired feeling may last for weeks. Sometimes  the fever comes back. Some people may not feel like eating
Influenza in humans  avian origin,Fever of 100 degrees Fahrenheit (37 degrees Celsius) or higher. Cough. Body and muscle aches. Sore throat. Nausea and vomiting. Diarrhea. Stuffy or runny nose. Pink eye (conjunctivitis). Bird flu may also cause severe respiratory symptoms and conditions  including:  Shortness of breath (dyspnea). Pneumonia. Acute respiratory distress. Respiratory failure.
Influenza in humans  pandemic,Fever Aching muscles Chills and sweats Headache Dry  persistent cough Shortness of breath Tiredness and weakness Runny or stuffy nose Sore throat Eye pain Vomiting and diarrhea  but this is more common in children than adults
Influenza in humans  seasonal,sudden onset of fever  cough (usually dry)  headache  muscle and joint pain
Influenza in humans  swine origin,body aches chills cough headache sore throat fever tiredness vomiting and diarrhea  less commonly
Ingrown toenail,An ingrown toenail may cause pain  inflamed skin  swelling and  sometimes  infection around the toenail. Ingrown toenails are a common condition in which the corner or side of a toenail grows into the soft flesh. The result is pain  inflamed skin  swelling and  sometimes  an infection
Inherited heart conditions,dizzy spells · palpitations · blackouts · shortness of breath.
Insomnia,Difficulty falling asleep at night. Waking up during the night. Waking up too early. Not feeling well-rested after a night's sleep. Daytime tiredness or sleepiness. Irritability  depression or anxiety. Difficulty paying attention  focusing on tasks or remembering. Increased errors or accidents.
Invasive Haemophilus influenzae disease,Ear infection (otitis media) Symptoms may include:  Pain. Loss of appetite. Irritability. Poor sleep. Fever. Drainage. Difficulty hearing. Bronchitis Symptoms may include:  A frequent  mucus-producing cough. Lack of energy. Wheezing. Fever. Shortness of breath. Cellulitis Symptoms may include:  Pain. Tenderness. Swelling. Warmth. Discoloration. Blisters. Fever and chills. Fatigue. Epiglottitis Symptoms may include:  Severe sore throat. Fever. Raspy breathing called stridor. Difficulty swallowing. Drooling. Difficulty breathing. Pneumonia Symptoms may include:  Fever and chills. Cough. Shortness of breath. Difficulty breathing. Sweating. Chest pain. Headache. Muscle pain. Fatigue. Meningitis Symptoms may include:  Fever. Headache. Stiff neck. Fatigue. Decreased appetite. Nausea and vomiting. Irritability. Confusion. Seizures. Bloodstream infection (septicemia) Symptoms may include:  Fever and chills. Abdominal pain. Nausea and vomiting. Diarrhea. Anxiety or confusion. Fatigue. Shortness of breath. Difficulty breathing. Septic arthritis Symptoms may include:  Fever. Joint pain. Tenderness. Swelling. Warmth. Decreased range of motion.
Invasive meningococcal disease, Fever Headache Stiff neck Nausea Vomiting Photophobia (eyes being more sensitive to light) Altered mental status (confusion)
Invasive pneumococcal disease,fever  cough  shortness of breath  chest pain  stiff neck  confusion  increased sensitivity to light  joint pain  chills  ear pain  sleeplessness  and irritability
Iron deficiency anaemia,Extreme fatigue. Weakness. Pale skin. Chest pain  fast heartbeat or shortness of breath. Headache  dizziness or lightheadedness. Cold hands and feet. Inflammation or soreness of your tongue. Brittle nails.
Irritable bowel syndrome (IBS),abdominal (stomach) pain and cramping  which may be relieved by moving your bowels. a change in your bowel habits – such as diarrhoea  constipation or sometimes both. bloating and swelling of your stomach. excessive wind (flatulence) occasionally experiencing an urgent need to move your bowels.
Irritable hip,Hip pain and limping pain in the knee or thigh. restricted movement in one of the hip joints. a slightly higher temperature than normal – a normal temperature is around 37C (98.6F)
Itching,skin conditions – such as eczema. allergies or skin reactions. parasitic infestations – such as scabies. insect bites and stings. fungal infections – such as athlete's foot or vaginal thrush. hormonal changes during pregnancy or the menopause.
Itchy bottom,The itch in or around the anus is often intense and can be embarrassing and uncomfortable. Anal itching  also called pruritus ani (proo-RIE-tus A-nie)  has several possible causes. They include infections  hemorrhoids and ongoing diarrhea.
Japanese encephalitis virus,Initial symptoms often include fever  headache  and vomiting. Mental status changes  neurologic symptoms  weakness  and movement disorders might develop over the next few days. Seizures are common  especially among children. Among patients who develop encephalitis (infection of the brain)  20% – 30% die.
Kaposi's sarcoma,Lesions on the skin. The first signs of Kaposi are usually cancerous lesions (spots) on the skin that are purple  red or brown and can appear flat or raised Lesions on mucous membranes Lesions inside the body Lymph nodes
Kidney cancer,Blood in the urine (hematuria) Low back pain on one side (not caused by injury) A mass (lump) on the side or lower back. Fatigue (tiredness) Loss of appetite. Weight loss not caused by dieting. Fever that is not caused by an infection and that doesn't go away.
Kidney infection,pain and discomfort in your side  lower back or around your genitals. a high temperature. shivering or chills. feeling very weak or tired. loss of appetite. feeling sick or being sick. diarrhoea.
Kidney stones,Severe  sharp pain in the side and back  below the ribs. Pain that radiates to the lower abdomen and groin. Pain that comes in waves and fluctuates in intensity. Pain or burning sensation while urinating.
Labyrinthitis,a feeling of pressure inside your ear(s) ringing or humming in your ear(s) (tinnitus) fluid or pus leaking out of your ear(s) ear pain. feeling sick (nausea) or being sick. a high temperature (fever) of 38C (100.4F) or above. changes in vision  such as blurred vision or double vision. mild headaches.
Lactose intolerance,farting. diarrhoea. a bloated stomach. stomach cramps and pains. stomach rumbling. feeling sick.
Laryngeal (larynx) cancer,a change in your voice  such as sounding hoarse. pain when swallowing or difficulty swallowing. a lump or swelling in your neck. a long-lasting cough or breathlessness. a persistent sore throat or earache. a high-pitched wheezing noise when you breathe. in severe cases  difficulty breathing.
Laryngitis,hoarseness. difficulty speaking. sore throat. mild fever. irritating cough. a constant need to clear your throat.
Lassa fever,starts with fever general weakness  and malaise. After a few days  headache  sore throat  muscle pain  chest pain  nausea  vomiting  diarrhoea  cough  and abdominal pain may follow.
Leg cramps,Thigh muscle cramps tend to last the longest. During a cramping episode  the affected muscles will become tight and painful and the feet and toes will be stiff. After the cramps have passed  you may have pain and tenderness in your legs for several hours
Legionnaires’ disease,Cough. Shortness of breath. Fever. Muscle aches. Headaches.
Leishmaniasis,fever  weight loss  enlargement (swelling) of the spleen and liver  and abnormal blood tests.
Leptospirosis,High fever. Headache. Chills. Muscle aches. Vomiting. Jaundice (yellow skin and eyes) Red eyes. Abdominal pain.
Lichen planus,Purplish  flat bumps  most often on the inner forearm  wrist or ankle  and sometimes the genitals. Itching. Blisters that break to form scabs or crusts. Lacy white patches in the mouth or on the lips or tongue. Painful sores in the mouth or vagina. Hair loss. Change in scalp color. Nail damage or loss.
Listeriosis, fever  muscle aches  headache  stiff neck  confusion  loss of balance  and convulsions. Pregnant women: Pregnant women typically experience only fever  and other non-specific symptoms like chills and headache.
Liver cancer, Weight loss (without trying) Loss of appetite Feeling very full after a small meal Nausea or vomiting 
Liver disease,Skin and eyes that appear yellowish (jaundice) Abdominal pain and swelling. Swelling in the legs and ankles. Itchy skin. Dark urine color. Pale stool color. Chronic fatigue. Nausea or vomiting
Liver tumours,Losing weight without trying. Loss of appetite. Upper abdominal pain. Nausea and vomiting. General weakness and fatigue. Abdominal swelling. Yellow discoloration of your skin and the whites of your eyes (jaundice) White  chalky stools.
Loss of libido,relationship problems. stress  anxiety or depression. sexual problems like erectile dysfunction or vaginal dryness. pregnancy and having a baby – your hormone levels change when you're pregnant  and looking after a baby can be stressful and tiring.
Louse borne relapsing fever,high fever  general malaise  chills and sweats  headache  meningism  myalgia/arthralgia and non-specific gastrointestinal symptoms (nausea and vomiting). Mycocutaneous symptoms include conjunctival injection  scattered petechiae and erythematous rash.
Louse-borne diseases, headache  fatigue  and muscle aches. People with Lyme disease may also have joint pain. Rash. Lyme disease  Southern tick-associated rash illness (STARI)  Rocky Mountain spotted fever (RMSF)  ehrlichiosis  and tularemia can cause distinctive rashes
Louse-borne typhus,Fever and chills. Headache. Rapid breathing. Body and muscle aches. Rash. Cough. Nausea. Vomiting.
Lung cancer,Coughing that gets worse or doesn't go away. Chest pain. Shortness of breath. Wheezing. Coughing up blood. Feeling very tired all the time. Weight loss with no known cause.
Lupus,Muscle and joint pain. You may experience pain and stiffness  with or without swelling. ... Fever. A fever higher than 100 degrees Fahrenheit affects many people with lupus. ... Rashes. ... Chest pain. ... Hair loss. ... Sun or light sensitivity. ... Kidney problems. ... Mouth sores.
Lyme disease, fever  headache  fatigue  and a characteristic skin rash called erythema migrans
Lymphoedema,an aching  heavy feeling. difficulty with movement. repeated skin infections. the skin becoming hard and tight. folds developing in the skin. wart-like growths developing on the skin. a leakage of fluid through the skin.
Lymphogranuloma venereum,blood or pus from the anus on underwear or after using toilet paper. pain in the anal area when pooing or having receptive anal sex. constipation  painful straining or loose poos when trying to open the bowels. a feeling of incomplete emptying after opening the bowels.
Lymphogranuloma venereum (LGV),blood or pus from the anus on underwear or after using toilet paper. pain in the anal area when pooing or having receptive anal sex. constipation  painful straining or loose poos when trying to open the bowels. a feeling of incomplete emptying after opening the bowels
Malaria,fever and flu-like illness  including shaking chills  headache  muscle aches  and tiredness. Nausea  vomiting  and diarrhea may also occur. Malaria may cause anemia and jaundice (yellow coloring of the skin and eyes) because of the loss of red blood cells.
Malignant brain tumour (cancerous),Difficulty swallowing  facial weakness or numbness  or double vision is a symptom of a tumor in the brain stem. Vision changes  including loss of part of the vision or double vision can be from a tumor in the temporal lobe  occipital lobe  or brain stem
Malnutrition,reduced appetite. lack of interest in food and drink. feeling tired all the time. feeling weaker. getting ill often and taking a long time to recover. wounds taking a long time to heal. poor concentration. feeling cold most of the time.
Marine biotoxins related diseases,rash  diarrhea  flushing  sweating  headache  and vomiting. Burning or swelling of the mouth  stomach pain  and a metallic taste may also occur. Most people have mild symptoms that are gone within 12 to 48 hours
Measles,high fever  cough  runny nose  and watery eyes. Measles rash appears 3 to 5 days after the first symptoms
Meniere's disease,feel dizziness with a spinning sensation (vertigo) feel unsteady on your feet. feel sick (nausea) or be sick (vomit) hear ringing  roaring or buzzing inside your ear. have a sudden drop in hearing.
Meningitis,a high temperature (fever) being sick. a headache. a rash that does not fade when a glass is rolled over it (but a rash will not always develop) a stiff neck. a dislike of bright lights. drowsiness or unresponsiveness. seizures (fits)
Meningococcal disease,Fever and chills. Fatigue (feeling tired) Vomiting. Cold hands and feet. Severe aches or pain in the muscles  joints  chest  or abdomen (belly) Rapid breathing. Diarrhea. In the later stages  a dark purple rash.
Menopause,Irregular periods. Vaginal dryness. Hot flashes. Chills. Night sweats. Sleep problems. Mood changes. Weight gain and slowed metabolism.
Mesothelioma,chest pain. shortness of breath. fatigue (extreme tiredness) a high temperature and sweating  particularly at night. a persistent cough. loss of appetite and unexplained weight loss. clubbed (swollen) fingertips
Middle ear infection (otitis media),earache. a high temperature (fever) being sick. a lack of energy. slight hearing loss - if the middle ear becomes filled with fluid.
Middle East respiratory syndrome coronavirus,anges from no symptoms (asymptomatic) or mild respiratory symptoms to severe acute respiratory disease and death. A typical presentation of MERS is fever  cough and shortness of breath. Pneumonia is a common finding  but MERS patients may not always develop this condition. Gastrointestinal symptoms  including diarrhoea  have also been reported. Severe illness can cause respiratory failure that requires mechanical ventilation or support in an intensive care unit. Older people  people with weakened immune systems  and those with chronic diseases such as renal disease  cancer  chronic lung disease  hypertension  cardiovascular disease and diabetes appear to be at greater risk of developing severe disease.
Migraine,severe throbbing pain or a pulsing sensation  usually on one side of the head. It's often accompanied by nausea  vomiting  and extreme sensitivity to light and sound
Miscarriage,cramping and pain in your lower tummy. a discharge of fluid from your vagina. a discharge of tissue from your vagina. no longer experiencing the symptoms of pregnancy  such as feeling sick and breast tenderness.
Monkeypox,Fever. Chills. Swollen lymph nodes. Exhaustion. Muscle aches and backache. Headache. Respiratory symptoms (e.g. sore throat  nasal congestion  or cough)
Mosquito-borne diseases,fever. headache. muscle pain. joint pain. rash. vomiting. Diarrhea
Motor neurone disease (MND),slurred speech  which may develop into difficulty swallowing some foods. a weak grip – you might drop things  or find it hard to open jars or do up buttons. muscle cramps and twitches. weight loss – your arms or leg muscles may have become thinner over time.
Mouth cancer,a lump in your neck. loose teeth. swelling or a sore on your lip that won't heal. difficult or painful swallowing. changes in speech. bleeding or numbness in the mouth. white or red patches on the mouth  tongue or gums. unexplained weight loss
Mouth ulcer,One or more painful sores on part of the skin lining the mouth. Swollen skin around the sores. Problems with chewing or tooth brushing because of the tenderness. Irritation of the sores by salty  spicy or sour foods. Loss of appetite.
Multiple myeloma,Bone pain  especially in your spine or chest. Nausea. Constipation. Loss of appetite. Mental fogginess or confusion. Fatigue. Frequent infections. Weight loss.
Multiple sclerosis (MS),fatigue. vision problems. numbness and tingling. muscle spasms  stiffness and weakness. mobility problems. pain. problems with thinking  learning and planning. depression and anxiety.
Mumps,Discomfort in the salivary glands (in the front of the neck) or the parotid glands (immediately in front of the ears). ... Difficulty chewing. Pain and tenderness of the testicles. Fever. Headache. Muscle aches. Tiredness. 
Nasal and sinus cancer,a blocked nose that does not go away and usually only affects 1 side. nosebleeds. a decreased sense of smell. mucus running from your nose – this can be bloody.
Nasopharyngeal cancer,a lump in the neck that doesn't go away after 3 weeks. hearing loss (usually only in 1 ear) tinnitus (hearing sounds that come from inside the body rather than from an outside source) a blocked or stuffy nose (usually only blocked on 1 side) nosebleeds. headaches. double vision.
Nephropathia epidemica,Initial symptoms begin suddenly and include intense headaches  back and abdominal pain  fever  chills  nausea  and blurred vision. Individuals may have flushing of the face  inflammation or redness of the eyes  or a rash.
Neuroblastoma: Children,Lump or swelling in the child's belly that doesn't seem to hurt. Swelling in the legs or in the upper chest  neck  and face. Problems with breathing or swallowing. Weight loss. Not eating or complaining about feeling full. Problems with bowel movements or urinating. Pain in bones.
Neuroendocrine tumours,Skin flushing. Diarrhea. Frequent urination. Increased thirst. Dizziness. Shakiness. Skin rash.
Non-alcoholic fatty liver disease (NAFLD),a dull or aching pain in the top right of the tummy (over the lower right side of the ribs) extreme tiredness. unexplained weight loss. Weakness
Non-Hodgkin lymphoma,Swollen lymph nodes in your neck  armpits or groin. Abdominal pain or swelling. Chest pain  coughing or trouble breathing. Persistent fatigue. Fever. Night sweats. Unexplained weight loss.
Non-Hodgkin lymphoma: Children,Enlarged lymph nodes (seen or felt as lumps under the skin) Abdominal (belly) swelling or pain Feeling full after eating only a small amount of food Shortness of breath  wheezing  or cough Fever Weight loss Night sweats Fatigue (feeling very tired)
Norovirus,vomiting  diarrhea  and stomach cramping. Less common symptoms can include low-grade fever or chills  headache  and muscle aches
Nosebleed,bleeding from either or both nostrils. a sensation of flowing liquid at the back of the throat. the urge to swallow frequently
Obesity,breathlessness. increased sweating. snoring. difficulty doing physical activity. often feeling very tired. joint and back pain. low confidence and self-esteem. feeling isolated.
Obsessive compulsive disorder (OCD),Fear of contamination or dirt. Doubting and having difficulty tolerating uncertainty. Needing things orderly and symmetrical. Aggressive or horrific thoughts about losing control and harming yourself or others. Unwanted thoughts  including aggression  or sexual or religious subjects.
Obstructive sleep apnoea,Excessive daytime sleepiness. Loud snoring. Observed episodes of stopped breathing during sleep. Abrupt awakenings accompanied by gasping or choking. Awakening with a dry mouth or sore throat. Morning headache. Difficulty concentrating during the day. Mood changes  such as depression or irritability.
Oesophageal cancer,difficult or painful swallowing. new heartburn. reflux that doesn't go away. vomit that has blood in it. black or bloody stools. unexplained fatigue. feeling of choking when swallowing. discomfort in the upper abdomen particularly when eating.
Oral thrush in adults,white patches (plaques) in the mouth that can often be wiped off  leaving behind red areas that may bleed slightly. loss of taste or an unpleasant taste in the mouth. redness inside the mouth and throat. cracks at the corners of the mouth. a painful  burning sensation in the mouth.
Osteoporosis,Back pain  caused by a fractured or collapsed vertebra. Loss of height over time. A stooped posture. A bone that breaks much more easily than expected.
Osteosarcoma,Bone pain or tenderness. A mass or lump (tumor) that is warm and might be felt through your skin. Swelling and redness at the site of your tumor. Increased pain with lifting (if it affects your arm). Limping (if it affects your leg). Limited movement (if it affects a joint).
Otitis externa,ear pain. itching and irritation in and around your ear canal. redness and swelling of your outer ear and ear canal. a feeling of pressure and fullness inside your ear. scaly skin in and around your ear canal  which may peel off.
Ovarian cancer,Abdominal bloating or swelling. Quickly feeling full when eating. Weight loss. Discomfort in the pelvic area. Fatigue. Back pain. Changes in bowel habits  such as constipation. A frequent need to urinate
Ovarian cancer: Teenagers and young adults, pain or swelling in your tummy (abdomen) · a feeling of fullness or bloating in your tummy · needing to pee more often
Ovarian cyst,pelvic pain – this can range from a dull  heavy sensation to a sudden  severe and sharp pain. pain during sex. difficulty emptying your bowels. a frequent need to urinate. heavy periods  irregular periods or lighter periods than normal. bloating and a swollen tummy.
Overactive thyroid,nervousness  anxiety and irritability. hyperactivity – you may find it hard to stay still and have a lot of nervous energy. mood swings. difficulty sleeping. feeling tired all the time. sensitivity to heat. muscle weakness. diarrhoea.
Paget's disease of the nipple,Itching  tingling  or redness in the nipple and/or areola. Flaking  crusty  or thickened skin on or around the nipple. A flattened nipple. Discharge from the nipple that may be yellowish or bloody.
Pancreatic cancer,Abdominal pain that radiates to your back. Loss of appetite or unintended weight loss. Yellowing of your skin and the whites of your eyes (jaundice) Light-colored stools. Dark-colored urine. Itchy skin. New diagnosis of diabetes or existing diabetes that's becoming more difficult to control. Blood clots.
Panic disorder,a racing heartbeat. feeling faint. sweating. nausea. chest pain. shortness of breath. trembling. hot flushes.
Paratyphoid fever,Weakness Stomach pain Headache. Diarrhea or constipation Cough Loss of appetite
Parkinson's disease,Depression and other emotional changes. Difficulty swallowing  chewing  and speaking. Urinary problems or constipation. Skin problems.
